line_id,name,code,colour,operator,network,mode
Line:relation:8299933,Bus 301 : Exona ↔ Terminal David Douillet,301,,Keolis Seine Essonne,Seine Essonne Bus,bus
Line:relation:8309484,Bus 56A : Quimper ↔ Saint-Guénolé,56A,#C286C3,Transport Le Coeur,FR:Penn-ar-Bed,bus
Line:relation:8310273,17 : Sainte-Foy Place Saint-Luc ⇔ Saint-Genis 2 / Saint-Genis Lycée Descartes,17,#F7941D,Keolis,TCL,bus
Line:relation:8310297,6 : Gare de Vaise ⇔ Techlid Le Paisy,6,,Keolis,TCL,bus
Line:relation:8310967,Bus 303 : Gare Moulin Galant ↔ Corbeil-Essonnes - Gare RER,303,,Keolis Seine Essonne,Seine Essonne Bus,bus
Line:relation:8311136,86 : Gorge de Loup ⇔ La Tour de Salvagny Chambettes,86,,Keolis,TCL,bus
Line:relation:8311137,98 : Gorge de Loup ⇔ Marcy l'Étoile Campus Mérieux,98,#08B79C,Keolis,TCL,bus
Line:relation:8311215,96 : Quincieux Boulodrome ⇔ St-Germain-au-Mont-d'Or ⇔ Neuville,96,,Keolis,TCL,bus
Line:relation:8311232,Bus 56B : Quimper ↔ Penmarc'h,56B,#065E71,Transport Le Coeur,FR:Penn-ar-Bed,bus
Line:relation:8318524,S7 : La Chaux Ecole de Champlong ⇒ La Chaux Ecole de Champlong,S7,,Keolis,TCL,bus
Line:relation:8337992,RGTR 207: Luxembourg <=> Dudelange,207,#ADD1C7,Autocars Pletschette,RGTR,bus
Line:relation:8342230,Bus 54 : Pont-L'Abbé ↔ Pouldreuzic,54,#0691E9,Transport Le Coeur,FR:Penn-ar-Bed,bus
Line:relation:8345239,RGTR 303: Luxembourg <=> Manom,303,#CCD32A,Autocars Pletschette,RGTR,bus
Line:relation:8347195,Corol 34: Mérignac Les Pins ⇆ Bègles Rives d'Arcins,34,#EE7D00,Keolis Bordeaux Métropole,TBM,bus
